year,continent,Five-year change immigrants,International migrants
1995,Asia,-1791905,46418044
2000,Asia,2648942,49066986
2005,Asia,4182801,53249787
2010,Asia,12873853,66123640
2015,Asia,11067609,77191249
2020,Asia,8427253,85618502
1995,Africa,667411,16357077
2000,Africa,-1305400,15051677
2005,Africa,988410,16040087
2010,Africa,1766590,17806677
2015,Africa,5054115,22860792
2020,Africa,2528672,25389464
1995,South America,-33903,4241074
2000,South America,-25785,4215289
2005,South America,315052,4530341
2010,South America,706326,5236667
2015,South America,843540,6080207
2020,South America,4807267,10887474
1995,Europe,3881602,53489827
2000,Europe,3368966,56858793
2005,Europe,6726938,63585731
2010,Europe,7041429,70627160
2015,Europe,4131923,74759083
2020,Europe,11946985,86706068
1995,Australia,198117,4153330
2000,Australia,232920,4386250
2005,Australia,491780,4878030
2010,Australia,1004950,5882980
2015,Australia,846750,6729730
2020,Australia,956130,7685860
